File: /tmp/hramwd/GBS_Workshop/05_TBT/01_IndividualTBT/../../01_RawSequence/C08L7ACXX_6_fastq.gz
Total reads: 2122354
Accepted reads (with barcode and cut site): 2122354(1.0 of total)
Accepted reads found in TOPM: 1976669(0.9313569 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
M0029:C05F2ACXX:5:250021000	38716	0.017219769	35321	0.9123102
M0344:C05F2ACXX:5:250021073	35831	0.015936604	32679	0.9120315
M0360:C05F2ACXX:5:250021065	9961	0.004430368	9020	0.9055316
M0040:C05F2ACXX:5:250021015	9193	0.0040887836	8370	0.9104754
M0379:C05F2ACXX:5:250021068	24528	0.010909353	22323	0.9101027
B73:C05F2ACXX:5:250020986	15639	0.00695578	14167	0.90587634
M0055:C05F2ACXX:5:250021008	12192	0.0054226527	11071	0.9080545
M0007:C05F2ACXX:5:250020988	77463	0.03445333	70150	0.90559363
M0346:C05F2ACXX:5:250021074	26391	0.011737962	24012	0.9098556
M0051:C05F2ACXX:5:250021017	11414	0.0050766207	10403	0.9114246
M0045:C05F2ACXX:5:250021005	26473	0.011774433	24086	0.90983266
M0337:C05F2ACXX:5:250021072	20775	0.009240126	18833	0.9065223
M0005:C05F2ACXX:5:250020995	12705	0.0056508207	11578	0.91129476
M0010:C05F2ACXX:5:250021024	11874	0.0052812155	10809	0.91030824
M0310:C05F2ACXX:5:250021055	14775	0.0065714973	13431	0.9090355
M0033:C05F2ACXX:5:250021002	20449	0.0090951305	18651	0.91207397
M0021:C05F2ACXX:5:250021026	91246	0.04058361	82786	0.9072836
M0309:C05F2ACXX:5:250021043	55805	0.024820467	50787	0.9100797
M0008:C05F2ACXX:5:250020996	8032	0.003572404	7315	0.9107321
M0025:C05F2ACXX:5:250021027	22504	0.010009136	20548	0.9130821
M0355:C05F2ACXX:5:250021064	35039	0.015584345	31861	0.90930104
M0046:C05F2ACXX:5:250021032	52287	0.023255762	47403	0.9065925
M0034:C05F2ACXX:5:250021031	25974	0.011552492	23515	0.9053284
M0352:C05F2ACXX:5:250021063	6603	0.0029368256	5973	0.9045888
M0017:C05F2ACXX:5:250021029	34888	0.0155171845	31677	0.9079626
M0323:C05F2ACXX:5:250021070	59292	0.026371386	53901	0.9090771
M0027:C05F2ACXX:5:250020999	36823	0.016377818	33531	0.91059935
M0275:C05F2ACXX:5:250021050	0	0.0	0	NaN
M0075:C05F2ACXX:5:250021013	55925	0.02487384	50775	0.9079124
